,"GO:0005741,mitochondrial outer membrane","GO:0005740,mitochondrial envelope","GO:0005758,mitochondrial intermembrane space","GO:0098798,mitochondrial protein complex","GO:0098573,intrinsic component of mitochondrial membrane","GO:0098799,outer mitochondrial membrane protein complex","GO:0031966,mitochondrial membrane","GO:0051646,mitochondrion localization","GO:0051654,establishment of mitochondrion localization","GO:0005654,nucleoplasm","GO:0030479, actin cortical patch","Cdc28, goldstandard_hits","GO:0005618, cell wall "," GO:0006974, cellular response to DNA damage stimulus","GO:0010494, cytoplasmic stress granule","GO:0005576, extracellular region","GO:0035556, intracellular signal transduction","inviable, yeast","Mitchell2012, parkermrnps","GO:0005743, mitochondrial inner membrane","GO:0005759, mitochondrial matrix","GO:0005739, mitochondrion","GO:0003729, mRNA binding","GO:0005643, nuclear pore","GO:0005730, nucleolus","GO:0000932, P body","GO:0004672, protein kinase activity","respiratory, growth  decreased rate","GO:0042254, ribosome biogenesis","RNA accumulation, increased","GO:0006364, rRNA processing","GO:0043565, sequence specific DNA binding","Wallace2015, heatagg"
MOD_CDK_STP,NA,NA,NA,NA,NA,1.05427728510229,NA,NA,NA,NA,NA,5.35388181908375,-2.57371180869732,NA,NA,NA,-0.066153083239234,NA,-3.66501594484419,NA,-1.97795413532372,NA,NA,NA,-5.73736912494618,NA,1.53006886115688,NA,-4.18577483421359,NA,-4.55651109015548,4.21264333732735,NA
MOD_CKII,NA,NA,NA,NA,NA,NA,NA,NA,-7.15597629515835E-06,2.99126672957589,NA,NA,-2.26735037919852,NA,NA,-0.134525762209069,NA,NA,NA,NA,NA,NA,NA,NA,7.92349818237472,NA,NA,NA,7.65619985264696,3.83434244714883,4.60643879361207,NA,NA
MOD_IME2,NA,-70.4869249043244,NA,NA,NA,NA,NA,-1.92117117073257,NA,NA,NA,2.26990555500695,NA,NA,NA,-0.153992826865255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MOD_IPL1,NA,-58.5344219801248,NA,2.2694456411812,NA,0.419823730616404,NA,NA,1.67070522556998E-05,NA,NA,NA,-2.18316559975809,NA,NA,NA,5.75481566041983,NA,-1.57645359551933,NA,NA,NA,NA,NA,NA,-1.96057047887692,5.34680120208433,NA,NA,NA,NA,NA,NA
MOD_ISOMERASE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.65972864784274,NA,NA,0.156332594809263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MOD_LATS_1,NA,NA,-0.863326498293509,NA,NA,-1.02887877148119,NA,NA,NA,NA,NA,3.88107472332438,NA,NA,NA,NA,1.97060132883102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MOD_MEC1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.03879319950137,-2.36317196298554,7.52281134750216,NA,NA,NA,NA,NA,2.96331493377769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MOD_PKA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.02541244014342,NA,-0.124106859764174,-0.187640635072923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.63365080531842
MOD_PRK1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.32939775237995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MOD_SUMO_for_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9971372913877,2.33091893834032,NA,-2.70897564085396,NA,NA,NA,3.24746330645811,NA,NA,NA,NA,NA,-3.87182581831373,NA,NA,NA,NA,NA,NA
NCPR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
net_charge,NA,NA,NA,NA,NA,NA,2.4398010731443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
net_charge_P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.226190916587067,NA,NA,0.122640618261544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
omega,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.3293641203415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.73245364760679,NA,NA
polar_fraction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PPII_prop,NA,-6.55522059619297,NA,NA,NA,NA,NA,NA,5.09125096911189E-05,NA,1.65225748973971,NA,-1.03541552150625,NA,NA,0.233604608506575,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.381823355448099,NA,NA,NA,NA,NA,NA,NA
REP_D2,NA,-9.82623844936989,NA,NA,NA,1.16737137264416,NA,-0.746940571149128,NA,NA,NA,NA,NA,3.55487237259798,-2.92264990802657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
REP_E2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.26597733890537,NA,NA,-0.147692194955261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.583142325692,NA
REP_FG2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.50206392010211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.883521562295614,NA,NA,NA,NA,NA,NA,NA,NA,NA
REP_G2,NA,NA,-0.871381572219886,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.53083246945787,NA,NA,NA,NA,NA,0.109642963666759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
