idr_name,NAME,"GO:0005654,nucleoplasm","GO:0005730,nucleolus","GO:0005739,mitochondrion","GO:0005740,mitochondrial envelope","GO:0005741,mitochondrial outer membrane","GO:0005758,mitochondrial intermembrane space","GO:0031966,mitochondrial membrane","GO:0035556,intracellular signal transduction","GO:0051646,mitochondrion localization","GO:0051654,establishment of mitochondrion localization","GO:0098573,intrinsic component of mitochondrial membrane","GO:0098798,mitochondrial protein complex","GO:0098799,outer mitochondrial membrane protein complex"
YBL054W_idr_1,TOD6,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL054W_idr_2,TOD6,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL056W_idr_2,PTC3,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL057C_idr_2,PTH2,0,0,1,0,1,0,1,0,0,0,0,0,0
YBL058W_idr_2,SHP1,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL058W_idr_7,SHP1,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL060W_idr_1,YEL1,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL060W_idr_5,YEL1,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL060W_idr_9,YEL1,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL061C_idr_2,SKT5,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL063W_idr_1,KIP1,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL063W_idr_2,KIP1,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL063W_idr_36,KIP1,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL063W_idr_38,KIP1,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL063W_idr_4,KIP1,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL063W_idr_7,KIP1,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL064C_idr_1,PRX1,0,0,1,0,0,0,0,0,0,0,0,0,0
YBL066C_idr_1,SEF1,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL066C_idr_4,SEF1,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL066C_idr_9,SEF1,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL067C_idr_13,UBP13,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL067C_idr_2,UBP13,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL067C_idr_6,UBP13,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL069W_idr_1,AST1,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL075C_idr_2,SSA3,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL079W_idr_1,NUP170,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL079W_idr_14,NUP170,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL079W_idr_2,NUP170,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL079W_idr_3,NUP170,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL081W_idr_2,,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL081W_idr_3,,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL081W_idr_4,,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL084C_idr_3,CDC27,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL085W_idr_3,BOI1,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL085W_idr_4,BOI1,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL085W_idr_6,BOI1,0,0,0,0,0,0,0,0,0,0,0,0,0
